"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAAH2",65.7765706379818,1.54693562121698,0.363114741662128,4.26018402374964,2.04258658571718e-05,0.000919108907330527
"ZMAT1",286.368259701705,1.87397681589139,0.352707194763755,5.31312330372673,1.07762067448104e-07,2.43105399186303e-05
"MTBP",87.1690555834415,2.63768983103705,0.509460459050423,5.17741815714885,2.24977584306059e-07,4.31698366943143e-05
"RAB40A",10.2150083305902,2.16261543667444,0.730354157954146,2.96105035224598,0.00306591810747134,0.0305496061019755
"FANCB",25.5282601433058,1.74505201624719,0.469524261870289,3.71663864460593,0.000201890873544959,0.00482860493260679
"MAGED4B",3.65031199683051,-1.7542655520232,0.618795038197392,-2.83497029506497,0.00458299468135029,0.0396211875766244
"COL4A5",334.914550312779,1.79638263237522,0.477589837580745,3.76135020266529,0.000168998620264835,0.0043007057419225
"SPDYE18",60.6163258011326,2.06617952288753,0.377987407080672,5.46626550033862,4.59615765430751e-08,1.34610975229841e-05
"MTCP1",9.94839791365266,1.98779079643308,0.666919378078032,2.98055636374162,0.00287725283700335,0.0295323057672073
"KANTR",598.207776901659,1.77169422295424,0.30192763597365,5.86794321507178,4.41234303765145e-09,2.49525732022749e-06
"FGF20",33.1505313936653,3.11430757652808,0.651999799959816,4.77654682826593,1.78331039273348e-06,0.000182641617768667
"DKK4",27.9474204979518,2.93289883612354,0.980178924295654,2.99220760967809,0.00276967838857786,0.0287008137920042
"IL7",13.6451678510277,3.94313429287189,1.06020613331143,3.71921475360265,0.000199843089772292,0.00480025977073186
"ENG",611.816233638749,-1.84379274113512,0.415523999106493,-4.43727136122065,9.11064106760738e-06,0.000543189435652277
"GALNT12",284.943234189667,2.80523611647881,0.449822981306977,6.23631124476588,4.4800930349857e-10,3.73953365630257e-07
"KIF18A",3.85290398025931,2.94692712246803,0.954585708297629,3.08712679946096,0.0020210136780356,0.0230456300144305
"SLC31A2",7.78406094139494,1.81700982155835,0.62753133189953,2.89548860621554,0.00378568772436617,0.0348391790907215
"IL11RA",36.5338969596706,2.26784890816972,0.648517542610576,3.49697388144752,0.000470567901789594,0.00857604863807367
"ST18",1335.9483467804,1.58582660578076,0.423454503699899,3.74497517897372,0.000180411611209539,0.00446191324078821
"PGM5",143.238172122093,-1.64384828792167,0.363355493179351,-4.52407716073875,6.06595931000388e-06,0.00041845092860002
"FREM1",147.172660243293,1.98036935915821,0.519394923138965,3.81283926918238,0.000137379458610562,0.00375532849291964
"NKX6-3",64.5784386232075,2.09645164589515,0.5734278200816,3.65599919026744,0.000256182162181611,0.00569468044668417
"ALDH1A1",3287.21233317136,1.58502100920439,0.435486500515667,3.63965589594061,0.000273002616642486,0.0059342521904032
"CEP295",80.4688228503438,2.12727996314878,0.578846563862249,3.6750325491351,0.000237819093596736,0.00540156727687607
"CLIC3",21.5260491834044,-2.14541639311126,0.723002508091372,-2.96737060950849,0.00300358673237233,0.0303155241295185
"LCN15",32.968440713014,1.70756616917392,0.555208888140644,3.07553824451989,0.00210122978828047,0.0237554826792096
"WDR97",74.1422018252138,2.45756252123001,0.648002216723118,3.79252178126435,0.000149125165819221,0.00393907518700327
"MYMK",1.68259653314304,-5.02962638798857,1.74303651031151,-2.88555423723722,0.00390725131257213,0.035527044342091
"LCN10",1.91616750635282,-4.4110152980466,1.53434894512555,-2.87484493801744,0.00404225963267353,0.0363374283268536
"CFAP77",14.4251730391897,-2.85814037202026,1.02344716785744,-2.79266039497056,0.00522765432957875,0.0435264146523629
"ZNG1C",117.643259810382,1.98687860560756,0.356035547959681,5.58056243819945,2.39742069017605e-08,8.33802937537481e-06
"ZNG1F",194.120419723897,1.81464481609518,0.38397945389948,4.72589040290219,2.29109200014801e-06,0.000226316507990952
"PAX2",35.1543228550369,-2.51495788551656,0.757863303374599,-3.3184848432666,0.000905072342510238,0.013430469054103
"PDE6C",42.4808971469662,1.7370903699225,0.568538905899981,3.05535883630115,0.00224791394819292,0.0247537437012748
"FNBP4",872.693199178213,1.65693247084231,0.3211120976088,5.159981461866,2.46974296549823e-07,4.5307570402228e-05
"LDB3",101.187903044606,1.59728743309436,0.540776582783437,2.95369193849509,0.00313997278773588,0.0308920584810982
"ECHDC3",89.7029704357668,-1.59001228695901,0.368633704130382,-4.31325803675465,1.60866180665632e-05,0.00078547512488107
"SYTL2",570.638137945414,1.67268627240678,0.332517532623419,5.03037015585317,4.89533817250624e-07,7.56692365294622e-05
"CYP2C8",41.2689263002787,3.12419118451322,0.69199326060271,4.51477111466681,6.33851864529379e-06,0.000424960764114597
"PROSER2",34.2310532353453,-1.73854591773703,0.487816638809542,-3.563933206501,0.000365338956831502,0.00728348022158405
"ESAM",364.256483343116,-1.57597862922114,0.423506619981797,-3.72126090800865,0.000198230496616051,0.00476838603819649
"TAGLN",452.326050419356,-1.56033783135234,0.516666754080484,-3.02000819489399,0.00252767846286793,0.0268429161953672
"KCNJ1",3.57615225310369,4.41538977945314,1.11539229290718,3.95859807130706,7.5390983951056e-05,0.00243351389197169
"ROBO4",158.47550781139,-1.63509460628314,0.471257297579815,-3.46964304782189,0.000521150468069836,0.00922596597450461
"CFAP70",30.7237255135222,1.54159922842844,0.510924951671891,3.0172713690805,0.00255061364749478,0.0270006141522245
"IGF2",104.031734170177,-2.51718094161718,0.571756250809557,-4.40254205888098,1.06989840440426e-05,0.000609442551463209
"CTSW",9.29644850656238,-2.89036030000532,0.880104861939803,-3.28410900223275,0.00102305345693632,0.0145724013738011
"MRGPRF",228.396435755544,-1.895360965893,0.407464466074788,-4.65159817284561,3.29372406134176e-06,0.000283295202864784
"MMRN2",214.732800299049,-1.62327462683441,0.422340949602229,-3.84351701714752,0.000121283585296847,0.00343754012799269
"CD248",45.2522161142901,-1.96429200540823,0.487950020116498,-4.02560082882926,5.68300224617519e-05,0.00201855403186486
"LRRN4CL",17.7111733383677,-1.88010683323448,0.621669451134703,-3.02428699014053,0.00249219901552284,0.0265838937170636
"PHLDA2",56.1897274728343,-2.16664397290227,0.595990453732267,-3.63536690786591,0.000277585276236893,0.00600260181541282
"TSKU",88.6520263751059,-1.57275919955509,0.565298831077659,-2.78217309693859,0.00539962323961267,0.0444922558549328
"CTNNA3",643.521963359237,2.15599270416208,0.679220207944903,3.17421754968894,0.00150241036584621,0.0191313795937732
"OLFML1",23.5317273317069,-1.63700615094018,0.59237387273708,-2.76346784738555,0.00571907266102585,0.0460116621702003
"CENATAC",360.690350169841,1.87130025280048,0.354952842743546,5.27196863204869,1.34968149473435e-07,2.84448551772629e-05
"RTN4RL2",275.848876134335,-1.60546540569634,0.433512444699426,-3.70338943051447,0.000212737926667897,0.00500203795463926
"AGAP4",214.34577355658,2.24076800197831,0.411580316559942,5.44430312097291,5.20085908305224e-08,1.44705235887457e-05
